scenario,prob,v,cumprob
s9,0.01,51774,0.01
s6,0.06,53857,0.07
s8,0.06,54136,0.13
s3,0.03,54570,0.16
s7,0.03,54570,0.19
s5,0.36,55570,0.55
s2,0.18,58642,0.73
s4,0.18,58642,0.91
s1,0.09,60570,1
